,from,to
0,0,256
1,0,978
2,0,2876
3,0,2434
4,0,984
5,0,4083
6,1,84
7,2,345
8,2,3933
9,2,5442
10,2,1155
11,2,3226
12,3,1798
13,3,5364
14,3,1330
15,3,2186
16,4,4998
17,5,3196
18,5,1261
19,5,3500
20,5,6882
21,5,4414
22,5,5740
23,5,4020
24,6,3771
28,7,3226
27,7,19
25,7,2411
26,7,5349
35,8,2079
38,8,5239
37,8,3795
36,8,745
34,8,437
33,8,3079
32,8,4429
31,8,450
30,8,3844
29,8,1054
39,9,2692
40,9,1321
41,10,6926
53,11,3109
52,11,5191
51,11,320
49,11,2371
48,11,2770
50,11,5168
46,11,5424
45,11,5069
44,11,1749
43,11,3512
42,11,3226
47,11,5325
54,12,6269
58,13,2587
57,13,2013
55,13,3940
56,13,5339
59,14,5237
60,14,2176
68,15,4413
72,15,2277
71,15,27
70,15,4474
69,15,4868
67,15,3536
66,15,887
65,15,1593
64,15,5313
63,15,2826
62,15,3163
61,15,3864
73,16,4416
83,17,4086
82,17,4770
81,17,3473
80,17,3947
79,17,2411
78,17,3558
77,17,3583
76,17,1082
75,17,2683
74,17,619
93,18,2319
92,18,3448
91,18,231
90,18,3724
89,18,4186
86,18,1039
87,18,1921
85,18,1516
84,18,3564
88,18,4199
108,19,3235
118,19,1107
117,19,1370
116,19,3552
115,19,260
114,19,3963
113,19,3747
112,19,4027
111,19,886
110,19,4596
109,19,5261
107,19,3047
100,19,1855
105,19,7051
104,19,133
103,19,1124
102,19,4207
101,19,5344
99,19,3334
98,19,2292
97,19,669
96,19,1357
95,19,5296
94,19,952
106,19,3500
123,20,1728
122,20,5150
120,20,5892
119,20,2375
121,20,2616
124,21,4027
125,21,584
126,21,5445
127,21,2584
128,22,2584
129,22,3818
136,23,4548
138,23,3165
137,23,4695
134,23,4151
135,23,2720
132,23,1331
131,23,366
130,23,486
133,23,1651
139,24,562
140,24,4082
141,24,2108
142,24,7054
143,24,2505
144,24,5243
145,24,3470
151,25,6554
152,25,1151
150,25,4238
147,25,1393
148,25,714
146,25,747
149,25,4424
153,26,4127
154,26,1749
195,27,3014
192,27,5391
194,27,5329
193,27,876
191,27,34
203,27,3400
189,27,3275
188,27,4678
186,27,5302
185,27,1818
196,27,5168
190,27,930
197,27,4805
208,27,2808
199,27,2116
200,27,750
201,27,6941
202,27,5191
204,27,2457
205,27,887
206,27,7119
207,27,5242
184,27,2490
209,27,3834
210,27,3795
211,27,1168
198,27,5082
183,27,3093
187,27,3097
181,27,4680
182,27,4275
155,27,704
156,27,1012
157,27,2107
158,27,210
159,27,4820
160,27,738
161,27,3888
163,27,4819
164,27,3584
165,27,2770
166,27,5084
167,27,2986
162,27,3582
169,27,2164
180,27,6422
168,27,2361
178,27,1803
177,27,2826
176,27,509
175,27,911
179,27,4758
173,27,2220
172,27,4503
171,27,220
170,27,1546
174,27,2482
291,28,1340
292,28,4752
293,28,4753
294,28,3939
295,28,2332
296,28,167
299,28,2433
298,28,1265
300,28,4965
301,28,3295
302,28,807
297,28,1579
290,28,3808
275,28,4051
288,28,2786
287,28,5184
286,28,5045
285,28,794
284,28,4683
283,28,4207
282,28,4969
281,28,6950
280,28,791
279,28,2977
278,28,3896
276,28,2255
303,28,4827
289,28,2359
304,28,3460
274,28,5163
306,28,1998
333,28,1268
332,28,6138
331,28,1376
330,28,5203
329,28,5242
328,28,5277
327,28,3104
326,28,2818
325,28,1786
324,28,2699
323,28,4171
322,28,5355
321,28,4553
320,28,4310
319,28,4469
318,28,5416
317,28,2389
316,28,4781
315,28,5330
314,28,1357
313,28,6978
312,28,4161
311,28,4976
310,28,4160
309,28,1029
308,28,2378
307,28,4914
305,28,3761
273,28,3703
277,28,2353
271,28,4368
239,28,60
238,28,1909
237,28,5168
236,28,2645
235,28,4647
234,28,3137
233,28,1602
232,28,4506
231,28,4719
230,28,347
229,28,750
228,28,3589
227,28,1808
240,28,1555
226,28,935
224,28,448
223,28,2319
222,28,3132
221,28,4679
219,28,2635
218,28,3036
217,28,3303
216,28,3125
215,28,2528
214,28,102
213,28,2625
212,28,207
272,28,1841
225,28,3617
241,28,2761
220,28,3848
243,28,5264
270,28,5041
242,28,4518
269,28,5644
268,28,3697
266,28,4670
265,28,778
264,28,4222
263,28,3162
262,28,1417
261,28,4359
260,28,2021
259,28,2134
258,28,2340
267,28,2564
256,28,5083
246,28,1082
247,28,4998
244,28,3409
248,28,30
250,28,3857
249,28,3275
245,28,4735
252,28,3779
253,28,5093
254,28,4941
255,28,4793
251,28,2753
257,28,373
334,29,4321
395,30,2514
393,30,2047
394,30,4475
398,30,6980
397,30,1230
399,30,3819
400,30,4543
396,30,3271
392,30,276
386,30,5393
390,30,3352
389,30,4673
388,30,4998
387,30,2359
385,30,3972
384,30,3803
383,30,2573
401,30,3460
382,30,393
391,30,3354
402,30,2060
417,30,4402
404,30,2799
381,30,60
424,30,5198
423,30,2822
422,30,563
421,30,4778
420,30,4560
419,30,2926
418,30,5267
416,30,3500
415,30,2699
414,30,4717
412,30,2397
411,30,320
410,30,3155
409,30,5132
408,30,2382
407,30,1669
406,30,4976
405,30,3180
403,30,2281
380,30,6352
413,30,3513
378,30,3862
354,30,791
353,30,5168
352,30,3137
351,30,3135
350,30,1393
349,30,4623
348,30,3400
347,30,3764
346,30,4502
345,30,2319
344,30,4416
343,30,5375
342,30,2939
341,30,4263
340,30,5083
339,30,2683
338,30,3301
337,30,449
336,30,737
355,30,2371
356,30,2020
335,30,4917
358,30,5163
357,30,3409
377,30,2463
376,30,687
375,30,889
374,30,4663
373,30,590
372,30,2455
371,30,2857
370,30,5100
369,30,2762
379,30,2570
367,30,2340
366,30,2967
365,30,4207
364,30,875
363,30,2129
362,30,5033
361,30,3697
360,30,6941
359,30,4256
368,30,2759
425,31,158
427,32,1082
426,32,5385
428,33,2378
429,33,373
430,33,2790
453,34,2949
454,34,6941
452,34,4379
455,34,3325
451,34,5168
456,34,611
457,34,4758
463,34,3953
459,34,460
460,34,5242
461,34,3137
462,34,1187
450,34,5443
464,34,2490
465,34,3125
458,34,4827
449,34,1680
441,34,3491
447,34,5329
466,34,3079
431,34,5144
432,34,2227
433,34,3123
434,34,4640
436,34,5420
448,34,373
437,34,5032
439,34,930
440,34,1461
442,34,2128
443,34,371
444,34,6821
445,34,4820
446,34,3827
438,34,210
435,34,6412
468,35,5398
467,35,5144
469,36,6835
470,36,2786
479,37,4640
477,37,1474
476,37,2511
475,37,2371
478,37,6410
473,37,1103
472,37,4603
471,37,2157
474,37,2616
480,38,3684
481,38,2603
482,38,5164
490,39,3959
493,39,4002
492,39,4388
491,39,4457
488,39,2803
489,39,2780
486,39,2997
485,39,5083
484,39,1522
483,39,2378
487,39,1968
499,40,5409
504,40,5307
