,444,1322,507,1401,1096,1250,262,1,1368,621,1360,287,162,891,1357,294,960,798,1377,1207,1382,415,394,443,1256,494,551,712,188,1231,177,409,50,1171,1230,871,1085,109,1034,775,301,1316,679,344,1065,747,249,33,440,277,1142,1396,1056,939,46,289,293,386,921,1212,792,473,540,974,1239,139,41,869,1041,1071,378,154,1242,1352,812,1167,1260,1405,460,311,523,1151,1005,1348,730,514,675,799,1371,968,1257,923,1249,1277,1029,719,773,1319,147
0,Duke Dumont,Grégoire,IAMX,Brisk,Inner Circle,Mario Vazquez,Carlie Hanson,Rae Sremmurd,Banda Real,Ky-Mani Marley,Delta Goodrem,Lennon & Maisy,DA Uzi,A1,Doves,Paulina Rubio,Chuckie,THE BOYZ,Makiza,J. Holiday,The Sect,Irama,George Harrison,Markus Krunegård,Daniyel Space,Bacilos,Chef'Special,Lara Fabian,Moha La Squale,Kino,Felix Jaehn,Haben,keshi,Sky Sailing,Miike Snow,Static-X,Dion & The Belmonts,Manuel Turizo,(G)I-DLE,The Staple Singers,AIELLO,Powerman 5000,Col3trane,Mild High Club,Panda Da Panda,LAAS,Dada Life,,Plastilina Mosh,Sara Farell,Robert Glasper,Alaska,Macklemore & Ryan Lewis,,Mc Carol,Kota the Friend,Vitinho,CID,Maren Morris,Shai,Keri Hilson,NERVO,Kasmir,Ednita Nazario,Ala Jaza,Topic,Big Sean,Chatmonchy,Erabi,Gabriel Rios,Azzi Memo,James Bay,Greeicy,Ioana Ignat,Alaska Thunderfuck,R.I.O.,,M.I.A.,Home Free,Zuna,Shy'm,High Contrast,Stiff Little Fingers,Klaus Badelt,10cc,Kane,Amaral,Fishbach,La Otra Fe,qurt,EXO-K,Curtis Mayfield,Bodybangers,Detonautas Roque Clube,Little Boots,S. Carey,Andrea Berg,Katie Melua,Eli Young Band
1,Disciples,Joyce Jonathan,White Lies,Bang!,Maxi Priest,Natalie,ROZES,Huncho Jack,Krisspy,Martin Jondo,Jessica Mauboy,Nashville Cast,Kalash Criminel,911,Guy Garvey,Gloria Trevi,Laidback Luke,P1Harmony,Camila Moreno,Marques Houston,Limewax,RIKI,Ringo Starr,Säkert!,THE LiFERS,Cristian Castro,Miss Montreal,Cher,Hamza,A.C.E,Kungs,Etwas,Jeremy Zucker,The Ready Set,Miami Horror,Mudvayne,The Diamonds,Mario Bautista,MAMAMOO,Wilson Pickett,Francesca Michielin,Rob Zombie,Lou Val,Pond,Far & Son,Olli Banjo,Afrojack,,Los Daniels,Sofia Karlberg,Christian Scott aTunde Adjuah,dgoHn,Kid Cudi,,MC Koringa,Rexx Life Raj,Ferrugem,Madison Mars,Cam,Jodeci,Eve,Robbie Rivera,Evelina,Ines Gaviria,Sujeto Oro 24,Regard,Wale,ELLEGARDEN,Sugar MMFK,Nneka,Zuna,Passenger,Mike Bahía,Nicoleta Nuca,Shea Couleé,Darius & Finlay,,Sleigh Bells,Superfruit,Kurdo,Sheryfa Luna,Sub Focus,Buzzcocks,John Powell,The Moody Blues,Marco Borsato,Kadebostany,Juliette Armanet,Fran Sfeir,Niman,SUHO,Bobby Womack,Rockstroh,Tihuana,Ladyhawke,James Vincent McMorrow,Michelle,Melody Gardot,Danielle Bradbery
2,Philip George,Grégory Lemarchal,Brandon Flowers,Ham,Jimmy Cliff,Colby O'Donis,bülow,Tyla Yaweh,Tito Swing,Patrice,Vanessa Amorosi,Chelsea Cutler,Maes,Gareth Gates,Turin Brakes,Playa Limbo,Alvaro,Monsta X,Pedropiedra,DAY26,Counterstrike,Lorenzo Fragola,Paul McCartney,Broder Daniel,Yogi,Juanes,Douwe Bob,Michael Bolton,Maes,SF9,Martin Jensen,Keine,Mokita,A Rocket To The Moon,Passion Pit,Stone Sour,Lloyd Price,CNCO,Moon Byul,Gladys Knight & The Pips,Michele Bravi,Orgy,K. Forest,Crumb,Silvana Imam,Tua,Laidback Luke,,Jumbo,Colin & Caroline,Gretchen Parlato,Fanu,Macklemore,,Kelly Key,tobi lou,Grupo Clareou,Lucas & Steve,Maggie Rogers,K-Ci & JoJo,will.i.am,Mark Knight,Nikke Ankara,Natalia Jiménez,"Secreto ""El Famoso Biberon""",Imanbek,Pusha T,ASIAN KUNG-FU GENERATION,Reda Rwena,Absynthe Minded,Mert,Vance Joy,Nacho,JO,Years & Years,Bodybangers,,Ladyhawke,Peter Hollens,Azzi Memo,Kenza Farah,Culture Shock,Sex Pistols,James Newton Howard,Jefferson Starship,Ilse DeLange,Najwa,Tim Dup,Dani Ilabel,AYRYS,CHANYEOL,The Staple Singers,Finger & Kadel,Planta E Raiz,Annie,Volcano Choir,Bernhard Brink,Madeleine Peyroux,Maddie & Tae
3,Shift K3Y,Christophe Willem,Reamonn,CLSM,Big Mountain,Marques Houston,Phoebe Ryan,A$AP Ferg,Kerubanda,Alborosie,G.R.L.,Charlotte Lawrence,Moha La Squale,Westlife,I Am Kloot,OV7,Tony Junior,ATEEZ,Tiro De Gracia,Pleasure P,Cooh,Fabio Rovazzi,Harry Nilsson,Timo Räisänen,Ekstrak,Diego Torres,Go Back To The Zoo,Whitney Houston,Jok'air,NCT,Sam Feldt,Erfolg,John K,We The Kings,The Presets,Korn,Neil Sedaka,Mau y Ricky,Whee In,Roberta Flack,Madame,Static-X,Kyle Dion,Unknown Mortal Orchestra,Cleo,Megaloh,Nicky Romero,,Enjambre,Tom Speight,Joshua Redman,Gremlinz,Lupe Fiasco,,LUDMILLA,Cordae,Turma do Pagode,Curbi,Lennon Stella,Case,Far East Movement,Fedde Le Grand,SANNI,Kany García,Geovanny Polanco,Brando,ScHoolboy Q,amazarashi,LOKO BEN,Ayọ,Dardan,Mumford & Sons,Mario Bautista,Edward Sanda,Blair St. Clair,Mike Candys,,CSS,Us The Duo,Nash,Zaho,DJ Fresh,Joe Strummer,Steve Jablonsky,Supertramp,Van Dik Hout,Manu Pilas,The Pirouettes,330am,JILLZAY,XIUMIN,Sly & The Family Stone,Eric Chase,Capital Inicial,Florrie,Ben Howard,Matthias Reim,Eva Cassidy,Miranda Lambert
4,M-22,Shy'm,Sunrise Avenue,Fracus,Eddie Lovette,Mario,Sarah Close,6LACK,El Prodigio,Jahcoustix,Ricki-Lee,carobae,Gradur,Ronan Keating,Gomez,Fey,Bingo Players,PENTAGON,Nano Stern,Pretty Ricky,Audio,Ultimo,The Beatles,kent,Jamil,Franco De Vita,Kane,Ronan Keating,Laylow,VICTON,Mike Perry,Farid Bang,Fiji Blue,Boys Like Girls,PNAU,Coal Chamber,The Fleetwoods,Nio Garcia,Hyolyn,Jackie Wilson,Elodie,Emigrate,Kevin George,MGMT,Familjen,Bass Sultan Hengzt,Bassjackers,,Zurdok,Gardiner Sisters,The RH Factor,Loxy,Blue Scholars,,MC K9,Tyla Yaweh,Mumuzinho,Mr. Belt & Wezol,Ingrid Andress,All-4-One,Christina Milian,Firebeatz,Reino Nordin,Pedro Capó,Don Miguelo,Yves V,2 Chainz,flumpool,Kalazh44,Ben L'Oncle Soul,King Khalil,Tom Grennan,Sofía Reyes,Juno,Todrick Hall,DJ Antoine,,Hot Chip,Lindsey Stirling,Ra'is,Grégory Lemarchal,Friction,The Undertones,Alan Silvestri,The Doobie Brothers,Guus Meeuwis,Vanesa Martín,Therapie TAXI,Marysol Muguerza,Райда,EXO-CBX,Al Green,Michael Mind Project,O Surto,Yelle,The Paper Kites,Nik P.,The Little Willies,Cam
5,Karen Harding,Calogero,Poets of the Fall,Plus System,Chaka Demus & Pliers,Amanda Perez,Robinson,Quality Control,Benny Sadel,Lutan Fyah,Nicole Scherzinger,LÉON,Landy,Shayne Ward,Badly Drawn Boy,Kabah,twoloud,ONEUS,Los Tetas,Sammie,Current Value,Michele Bravi,The Kinks,bob hund,Swizz Beatz,Aleks Syntek,DI-RECT,LeAnn Rimes,13 Block,THE BOYZ,Sigala,Juju,LANY,Adam Young,Cut Copy,Drowning Pool,Tommy Edwards,Sebastian Yatra,Weki Meki,The Supremes,Noemi,White Zombie,Xavier Omär,Melody's Echo Chamber,Maskinen,Fabian Römer,Don Diablo,,División Minúscula,Halloran & Kate,Roy Hargrove,Digital,Asher Roth,,MC Marcelly,DaBaby,Bom Gosto,Brooks,MUNA,Tevin Campbell,Nicole Scherzinger,Bingo Players,Mikael Gabriel,Olga Tañón,Ceky Viciny,twocolors,Jay Rock,MAN WITH A MISSION,Fousy,Balthazar,Nash,Declan J Donovan,CNCO,Amna,RuPaul,DJ Gollum,,Little Dragon,Tori Kelly,Soufian,Amel Bent,SHY FX,The Damned,Harry Gregson-Williams,Styx,Veldhuis & Kemper,Imany,Pépite,Cami,Malcolm Kush,CHEN,Wilson Pickett,Darius & Finlay,Raimundos,Frankmusik,The Tallest Man On Earth,Roland Kaiser,Diana Krall,Little Big Town
6,MK,Tom Frager,Editors,Mark Breeze,Steel Pulse,J. Holiday,Emily Vaughn,Young Thug,Geovanny Polanco,Mono & Nikitaman,The Saturdays,JP Saxe,GLK,M2M,Athlete,JNS,Firebeatz,ENHYPEN,Hordatoj,Jagged Edge,SPL,Ermal Meta,Todd Rundgren,Joel Alme,Flosstradamus,Elefante,Danny Vera,Barbra Streisand,Zola,NU'EST W,Klingande,Juli,Loote,He Is We,Bag Raiders,Dope,Connie Francis,Lalo Ebratt,JEON SOYEON,Otis Redding,Gaia,Coal Chamber,Cautious Clay,Mac DeMarco,Djurparken,MoTrip,Quintino,,Fobia,Grace Grundy,Kurt Rosenwinkel,Dead Man's Chest,Shwayze,,Priscila Nocetti,Ty Dolla $ign,Imaginasamba,Tchami,Hailey Whitters,Dru Hill,Cassie,EDX,Johanna Kurkela,Erika Ender,Bulin 47,Sevenn,Meek Mill,Fujifabric,JAZN,Intergalactic Lovers,Olexesh,JP Cooper,CD9,Nicole Cherry,Adore Delano,Empyre One,,The Knife,Piano Guys,BOJAN,Jenifer,Danny Byrd,The Jam,Marc Streitenfeld,Little River Band,Nick & Simon,Celestal,Feu! Chatterton,Carlos Esquivel,Индаблэк,KAI,Donny Hathaway,R.I.O.,Natiruts,Uffie,José González,Michael Wendler,Jamie Cullum,Lauren Alaina
7,Kah-Lo,Jenifer,Walking On Cars,Squad-E,Aswad,Stevie Hoang,Maty Noyes,The Kid LAROI,El Jeffrey,Anthony B,Guy Sebastian,Carlie Hanson,Hamza,98º,Starsailor,Sentidos Opuestos,Quintino,VICTON,Teleradio Donoso,Trey Songz,Technical Itch,Elettra Lamborghini,Yoko Ono,The Ark,Carnage,Alejandro Sanz,Dotan,Peabo Bryson,Kalash Criminel,DAY6,Kygo,Schon,Why Don't We,American Authors,MGMT,Machine Head,Little Anthony & The Imperials,Nacho,SEULGI,Ike & Tina Turner,Takagi & Ketra,Nine Inch Nails,ELHAE,Beach Fossils,Beatrice Eli,Manuellsen,KSHMR,,Bengala,Leroy Sanchez,Kurt Elling,Source Direct,B.o.B,,Thiaguinho,YBN Nahmir,Rodriguinho,Mike Williams,Pistol Annies,Next,Nelly Furtado,Disco Fries,Antti Tuisku,Myriam,Urbanda,Keanu Silva,Kendrick Lamar,the HIATUS,Hasan.K,Admiral Freebee,Majoe,Ella Henderson,Johann Vera,Lidia Buble,Rita Ora,ItaloBrothers,,POLIÇA,The Bellas,Kalazh44,Jena Lee,Brookes Brothers,Ramones,Alexandre Desplat,Traveling Wilburys,Krezip,Pablo Alborán,Suzane,Daniela Castillo,Gee Baller,LAY,Isaac Hayes,The Disco Boys,O Rappa,The Ting Tings,RY X,Claudia Jung,Lizz Wright,Lady A
8,Nathan Dawe,Emmanuel Moire,Adam Lambert,Styles,Third World,Paula DeAnda,L Devine,Migos,Aljadaqui,Junior Kelly,Natalie Bassingthwaighte,Avery Lynch,Siboy,Five,Embrace,Belinda,Deniz Koyu,Xdinary Heroes,Manuel García,Bobby V.,Konflict,Takagi & Ketra,The Byrds,Moneybrother,VIC MENSA,Vilma Palma e Vampiros,Ilse DeLange,Tina Arena,DA Uzi,ONF,Robin Schulz,SIND,Gentle Bones,MKTO,Phoenix,System Of A Down,Ricky Nelson,Greeicy,HYO,Smokey Robinson & The Miracles,Levante,Fear Factory,Ambré,Babe Rainbow,Broder John,Favorite,Dillon Francis,,Kinky,The Mayries,Kenny Garrett,Blocks & Escher,Mac Miller,,Manu Gavassi,Mustard,Jeito Moleque,Jay Hardway,Danielle Bradbery,Brian McKnight,Missy Elliott,Jack Wins,Jenni Vartiainen,Shaila Dúrcal,Banda Real,Dynoro,A$AP Rocky,Base Ball Bear,Shadow030,Charlie Winston,PA Sports,Tom Walker,Lalo Ebratt,Stefania,RAYE,Marc Korn,,Bat For Lashes,Kurt Hugo Schneider,CALO,Léa Castel,Camo & Krooked,The Stooges,Michael Giacchino,Ringo Starr,De Dijk,REYKO,Voyou,Vian Yovi,Truwer,D.O.,The Isley Brothers,2-4 Grooves,Skank,Bright Light Bright Light,Fleet Foxes,Jürgen Drews,Renee Olstead,Sugarland
9,Majestic,Yannick Noah,Valery Meladze,Ultravibes,The Wailers,Bobby Tinsley,Ivy Adara,NAV,Shelow Shaq,Chezidek,Cher Lloyd,Sody,Bramsito,Blue,Richard Hawley,JEANS,Dannic,CIX,Mamma Soul,Omarion,Corrupt Souls,Shade,Donovan,Laleh,Fat Joe,Reyli Barba,Krezip,Vanessa Williams,GLK,Golden Child,Junge Junge,Kollegah,Fly By Midnight,Parachute,Metronomy,Mushroomhead,The Shirelles,Lunay,MOMOLAND,Four Tops,Random,Dope,Phabo,The Growlers,Herbert Munkhammar,Genetikk,Hardwell,,Chetes,Kina Grannis,Christian McBride,Homemade Weapons,Hoodie Allen,,MC Maiquinho,Dreamville,Sorriso Maroto,CALVO,Lauren Alaina,Montell Jordan,Taio Cruz,Richard Grey,Laura Närhi,Kika Edgar,Luis Vargas,Dubdogz,Rick Ross,back number,Hemso,Eefje de Visser,Kurdo,Dermot Kennedy,Dvicio,Raluka,Keke Palmer,Geo Da Silva,,Peaches,The Piano Guys,Mert,Grégoire,Wilkinson,The Stranglers,Brian Tyler,Bachman-Turner Overdrive,Paul de Leeuw,Sam Joseph Delves,Eddy de Pretto,Valentín Trujillo,не придумал,BAEKHYUN,The Spinners,Klaas,Mamonas Assassinas,Robyn,Iron & Wine,Nino de Angelo,Molly Johnson,Pistol Annies
