,490,1048,1169,1288,1087,1172,118,103,836,1370,805,363,785,325,1213,636,1049,508,247,226,1326,26,552,1186,617,568,1310,1208,706,406,879,1321,1157,367,783,253,231,362,846,435,855,25,72,901,52,726,1063,323,913,478,358,678,574,593,1362,346,1270,130,1006,131,709,305,1332,146,135,680,4,357,751,123,794,716,1354,524,178,366,1276,810,11,634,1158,582,356,589,886,561,533,383,520,1245,1024,664,330,1223,133,866,780,1403,677,860
0,Kid Quill,Passion Pit,Renato Zero,Lura,Andrew Rannells,Julie London,Hugo Helmig,Martin Jensen,Blu,Chinx,Tom Petty,DJ Luian,Albert Hammond Jr,,Bonka,Zazie,Eddie Rabbitt,Fréro Delavega,J Hus,Jeremy Zucker,Large Professor,The Chainsmokers,Drowning Pool,Joss Stone,Schwesta Ewa,Sie7e,Livin' Joy,Laleh,French Montana,The Head And The Heart,Daniele Negroni,Nick Hakim,Joss Stone,Suzan & Freek,Anna Clendening,Víctor Manuelle,Diego Torres,Kid Quill,Anthony Braxton,Gustavo Cerati,Deniz Koyu,Train,Justice,Linia Nocna,Kid Ink,PA Sports,Twin Shadow,,Phosphorescent,Alex Schulz,Bondax,Girl Ultra,070 Shake,Fréro Delavega,Sefyu,Warren G,Keke Palmer,Nicky Romero,Betty Who,Kali Uchis,Lil' Kim,Mario,SEULGI,Etham,MAMAMOO,Mohit Chauhan,Ozuna,Mackned,Magnetic Man,Sky Ferreira,Xzibit,Karma Child,Steve Jablonsky,FBG Duck,Jorge & Mateus,GAMPER & DADONI,Sarah Dawn Finer,Lindsay Lohan,Ski Mask The Slump God,Once Tiros,Bass Sultan Hengzt,Eves Karydas,Young Money,The Fray,Wingtip,NxWorries,Seven Kayne,Mike Singer,Kekra,Commodores,Emma Bunton,Selena Gomez & The Scene,Gavin DeGraw,Makaveli,Qveen Herby,Milonair,Kelly Price,Chip E.,Stan Van Samang,Lindsay Lohan
1,mansionz,Miami Horror,Stadio,Mayra Andrade,Stephanie D'Abruzzo,Anita O'Day,Phlake,Lost Frequencies,Elzhi,CyHi,John Mellencamp,Amenazzy,The Last Shadow Puppets,,Andrés Cepeda,Marc Lavoine,Ronnie Milsap,Hoshi,Hardy Caprio,AJ Mitchell,dj honda,Mike Perry,Stone Sour,Jill Scott,Celo & Abdi,Gente De Zona,Robin S,Lars Winnerbäck,Massari,Gregory Alan Isakov,Mark Forster,Laura Mvula,Des'ree,Maan,AJ Mitchell,Luis Enrique,Bacilos,Xuitcasecity,Roscoe Mitchell,Los Fabulosos Cadillacs,Third Party,The Fray,Kavinsky,PAULA ROMA,Young Money,King Khalil,Rostam,,Sun Kil Moon,Kungs,Katy B,Daniel Caesar,Duckwrth,Tibz,Sinik,Kurupt,Lindsay Lohan,Afrojack,VÉRITÉ,Kehlani,Eve,Jagged Edge,EXO-CBX,Plested,(G)I-DLE,Farhan Akhtar,Anuel AA,Oliver Francis,Professor Green,Charli XCX,D12,SUD,Tyler Bates,Young Pappy,Fernando & Sorocaba,YouNotUs,Magnus Carlsson,Hilary Duff,$NOT,Los Tipitos,Alpa Gun,Mallrat,David Banner,The Goo Goo Dolls,Frances,BJ The Chicago Kid,Marcianos Crew,Wincent Weiss,Josman,Michael Bolton,Sophie Ellis-Bextor,The Veronicas,Eric Hutchinson,Eazy-E,Janelle Monáe,18 Karat,Tweet,Fingers Inc.,Virtual Zone,Ashley Tisdale
2,gianni & kyle,Van She,Roberto Vecchioni,Tito Paris,John Tartaglia,Mel Tormé,The Minds Of 99,Sam Feldt,Little Brother,Smoke DZA,Mudcrutch,Casper Magico,The Virgins,,Fonseca,Étienne Daho,The Bellamy Brothers,L.E.J,SL,Mark Diamond,Group Home,Cheat Codes,Godsmack,Emily King,XATAR,Descemer Bueno,Phats & Small,Lisa Miskovsky,Juicy J,Beta Radio,Glasperlenspiel,Jordan Rakei,Angie Stone,Kris Kross Amsterdam,Charlotte Lawrence,Juan Luis Guerra 4.40,Alejandro Sanz,Christian French,Sam Rivers,Fito Paez,Stadiumx,DNCE,Breakbot,Xxanaxx,French Montana,Sun Diego,Volcano Choir,,Great Lake Swimmers,Junge Junge,SBTRKT,Sabrina Claudio,Rich Brian,Arcadian,Youssoupha,WC,Stacie Orrico,DubVision,The Aces,Alina Baraz,Aaliyah,Trey Songz,D.O.,Tom Walker,TWICE,Sunidhi Chauhan,Nio Garcia,Killstation,Tinchy Stryder,Ellie Goulding,Westside Connection,Strange Minds,Bear McCreary,Cdot Honcho,Gusttavo Lima,Felix Jaehn,Sanna Nielsen,Aly & AJ,Lil Skies,Intoxicados,Berlins Most Wanted,JOY.,DJ Drama,Five For Fighting,Lostboycrow,GoldLink,ACRU,Madeline Juno,13 Block,James Ingram,Mel B,Aly & AJ,Jason Mraz,Warren G,Cardi B,Hamad 45,702,"Farley ""Jackmaster"" Funk",Fiocco,Paris Hilton
3,Jon Bellion,Cut Copy,Mia Martini,Ana Moura,Christian Borle,June Christy,Nik & Jay,Kungs,Blu & Exile,Jim Jones,Traveling Wilburys,Cauty,Nickel Eye,,Ekhymosis,Olivia Ruiz,Crystal Gayle,Louane,Fredo,Anna Clendening,O.C.,Loud Luxury,Dope,Macy Gray,LX & Maxwell,"Osmani Garcia ""La Voz""",Alex Party,Lisa Nilsson,Juelz Santana,Nathaniel Rateliff,Max Giesinger,Elli Ingram,Corinne Bailey Rae,Nielson,Ruel,Gilberto Santa Rosa,Cabas,FRENSHIP,David Murray,Andrés Calamaro,Nicky Romero,The Script,The Chemical Brothers,Kasia Lins,Travis Porter,Azzi Memo,Kacy Hill,,Lambchop,Y.V.E. 48,Redlight,Alina Baraz,Yeek,Trois Cafés Gourmands,Psy 4 De La Rime,Tha Eastsidaz,Nicole Scherzinger,Sebastian Ingrosso,Ryn Weaver,Chloe x Halle,Foxy Brown,Ginuwine,NCT,James TW,Hwa Sa,Javed Ali,Chris Jedi,Yung Pinch,Plan B,MØ,Warren G,Bless You,Brian Tyler,Lud Foe,Marcos & Belutti,Klangkarussell,Charlotte Perrelli,Cher Lloyd,Trippie Redd,La Vela Puerca,Bizzy Montana,Kita Alexander,Young Buck,Rob Thomas,Forest Blakk,Free Nationals,KAKTOV,LEA,Jok'air,Billy Ocean,Geri Halliwell,Lindsay Lohan,Amos Lee,Bone Thugs-N-Harmony,Normani,TaiMO,Jon B.,Frankie Knuckles,Natalia,Aly & AJ
4,Christian French,Penguin Prison,Irene Grandi,Mariza,Christopher Fitzgerald,Nancy Wilson,Scarlet Pleasure,Mike Perry,Reflection Eternal,Uncle Murda,Joe Walsh,Noriel,The Libertines,,Lucas Arnau,La Grande Sophie,Charley Pride,Claudio Capéo,Young T & Bugsey,eli.,Jeru The Damaja,Gryffin,Mudvayne,Remy Shand,Haze,Beatriz Luengo,Rozalla,Veronica Maggio,Kurupt,The Paper Kites,Michael Schulte,Celeste,Leela James,Miss Montreal,Alec Benjamin,Elvis Crespo,Fonseca,MKTO,Don Cherry,Vilma Palma e Vampiros,Qulinez,Hailee Steinfeld,Modjo,Ofelia,Ace Hood,Mert,Local Natives,,Mark Kozelek,Harold van Lennep,Disclosure,SZA,Saba,Claudio Capéo,Fonky Family,Daz Dillinger,Kelly Rowland,NERVO,BROODS,Jorja Smith,Mýa,Pretty Ricky,TAEMIN,Anson Seabra,K/DA,Lucky Ali,Mau y Ricky,Yunggoth✰,Redlight,Lykke Li,Eazy-E,MOLOW,Marc Streitenfeld,Lil Bibby,Maria Cecília & Rodolfo,Robin Schulz,Shirley Clamp,Ashley Tisdale,Lil Yachty,Los Piojos,Nazar,Tia Gostelow,Birdman,Vertical Horizon,Hearts & Colors,Noname,WOS,Katja Krasavice,Zamdane,Peabo Bryson,Girls Aloud,Hilary Duff,Mat Kearney,Westside Connection,Chloe x Halle,Takt32,Monica,Fast Eddie,Pat Krimson,The Veronicas
5,Timeflies,Broken Bells,Anna Oxa,Rodrigo Leão,Nikki M. James,Dinah Washington,Mads Langer,Seeb,Black Milk,Juelz Santana,Don Henley,Rvssian,The Cribs,,Maía,Raphaël,Don Williams,Black M,AJ Tracey,Goody Grace,Pete Rock,Martin Jensen,Soil,Leela James,Kurdo,Los Desiguales,The Bucketheads,Anna Ternheim,Danny Fernandes,Houndmouth,Rea Garvey,Nai Palm,Oleta Adams,Nick & Simon,Bea Miller,Jerry Rivera,Carlos Baute,Bryce Vine,Grachan Moncur III,Vicentico,DubVision,Nick Jonas,Digitalism,Albo Inaczej,Big Sean,Olexesh,Jim-E Stack,,Songs: Ohia,MÖWE,Just Kiddin,Chloe x Halle,GoldLink,Marina Kaye,Salif,Mack 10,Keri Hilson,Michael Calfan,Transviolet,SZA,Amerie,Keyshia Cole,NCT U,Rhys Lewis,LOONA,Neeraj Shridhar,KAROL G,Kid Trunks,Example,Bea Miller,Obie Trice,Thomas Irwin,John Powell,Jay Critch,Guilherme & Santiago,Glockenbach,Carola,Ashlee Simpson,Papithbk,Catupecu Machu,Fard,E^ST,Mike Jones,Matchbox Twenty,Grace Davies,Mick Jenkins,Blunted Vato,Alexa Feser,Kalash Criminel,Christopher Cross,Melanie C,Kelly Clarkson,James Morrison,Ice Cube,The Carters,Twin,Xscape,Jungle Wonz,De Kreuners,Ashlee Simpson
6,Quinn XCII,Bag Raiders,Riccardo Cocciante,Maria de Barros,Brian D'Arcy James,BLOSSOM DEARIE,Jimilian,Sigala,Talib Kweli,Jadakiss,Steve Miller Band,Brytiago,The Vines,,Los De Adentro,Michel Berger,The Oak Ridge Boys,Kendji Girac,JAY1,mansionz,Diamond D,Jonas Blue,Static-X,Amel Larrieux,Hanybal,Jacob Forever,Black Box,Miss Li,Snoop Dogg,Fruit Bats,Mandy Capristo,Aaron Taylor,Remy Shand,Jeroen Van Der Boom,Julia Michaels,Olga Tañón,La Quinta Estacion,Sammy Adams,Andrew Hill,Charly García,Paris Blohm,The Wanted,Cassius,Rasmentalism,2 Chainz,Kurdo,St. Lucia,,Magnolia Electric Co.,Starley,Kito,The Internet,tobi lou,Hoshi,Tandem,DJ Quik,Paula DeAnda,Otto Knows,Fickle Friends,Kiana Ledé,Trina,112,EXO-K,Alexander Stewart,Red Velvet,Kailash Kher,Jhayco,Danger Incorporated,Wretch 32,Allie X,N.W.A.,NEONBOY,Alexandre Desplat,Montana of 300,Michel Teló,David Puentez,Fredrik Kempe,Samantha Jade,DJ Scheme,Kapanga,Automatikk,G Flip,Yung Joc,Matt Nathanson,Etham,Phony Ppl,Neo Pistea,Namika,Doums,Peter Cetera,Atomic Kitten,Ashlee Simpson,Jack Johnson,N.W.A.,Megan Thee Stallion,Pedaz,Chanté Moore,The Todd Terry Project,2 Fabiola,Vanessa Hudgens
7,Skizzy Mars,Yeasayer,Samuele Bersani,Elida Almeida,Kristin Chenoweth,Kay Starr,Rasmus Seebach,Robin Schulz,Black Thought,Millyz,Warren Zevon,Miky Woodz,Little Joy,,Juan Fernando Velasco,Laurent Voulzy,Anne Murray,Slimane,Bugzy Malone,Olivia O'Brien,Kool G Rap,Kygo,Seether,Floetry,Veysel,Chocolate Mc,Urban Cookie Collective,Amanda Jenssen,Ginuwine,Birdtalker,Matthias Schweighöfer,Emily King,Dionne Bromfield,Marco Borsato,Anson Seabra,Tito Nieves,Tranzas,mansionz,Archie Shepp,Los Abuelos De La Nada,Manse,Jason Mraz,Ratatat,ARS LATRANS Orchestra,Wiz Khalifa,Miami Yacine,Big Red Machine,,Shearwater,Max Manie,Philip George,Ravyn Lenae,Choker,Slimane,Mafia K'1 Fry,Suga Free,Normani,Third Party,flor,Jessie Reyez,Da Brat,Lloyd,CHANYEOL,Wrabel,SEULGI,Shaan,Brytiago,$teven Cannon,Ms. Dynamite,Mabel,G-Unit,WISEKIDS,Marco Beltrami,Fredo Santana,César Menotti & Fabiano,Toby Romeo,Sonja Aldén,Jessica Mauboy,Comethazine,Guasones,Eko Fresh,Meg Mac,Young Dro,Lifehouse,Rhys Lewis,EARTHGANG,El Triangulo Estudio,LOTTE,Laylow,Richard Marx,All Saints,Ashley Tisdale,Ray LaMontagne,The Notorious B.I.G.,Todrick Hall,AchtVier,Changing Faces,Mr. Lee,Mama's Jasje,Miranda Cosgrove
8,mike.,Peter Bjorn and John,Edoardo Bennato,Deolinda,Caissie Levy,Jo Stafford,Joey Moe,Ofenbach,Skyzoo,Styles P,Jackson Browne,Jhay Cortez,The Strokes,,Bacilos,Véronique Sanson,Charlie Rich,Jain,MIST,Ollie,D.I.T.C.,benny blanco,Papa Roach,Chrisette Michele,Haftbefehl,Orishas,Ultra Naté,Daniel Adams-Ray,Dramatik,Blind Pilot,Marquess,Eryn Allen Kane,Duffy,Ilse DeLange,Alexander 23,Eddie Santiago,Franco De Vita,Quinn XCII,Marion Brown,Aterciopelados,Matisse & Sadko,Jonas Brothers,Empire of the Sun,Bovska,Ty Dolla $ign,Jigzaw,Donnie Trumpet & The Social Experiment,,Micah P. Hinson,GAMPER & DADONI,Baauer,Solange,Sheck Wes,Kendji Girac,Tunisiano,Shade Sheist,Danity Kane,John De Sohn,Luna Shadows,Rina Sawayama,Kelis,Monica,SUHO,Lewis Capaldi,MOMOLAND,Mika Singh,Myke Towers,Lil Gnar,AlunaGeorge,Rina Sawayama,Makaveli,Boye & Sigvardt,John Ottman,Blac Youngsta,João Neto & Frederico,Tom Gregory,Ainbusk,Stacie Orrico,YNW Melly,Las Pastillas del Abuelo,Azad,Nicole Millar,Bun B,O.A.R.,Ed Prosek,Rachel Bloom,Midel,Max Giesinger,Siboy,The Pointer Sisters,Victoria Beckham,Gwen Stefani,Five For Fighting,Nate Dogg,Jessie Reyez,Dú Maroc,KeKe Wyatt,Royal House,Samson & Gert,Natasha Bedingfield
9,Ryan Caraveo,Architecture In Helsinki,Fabio Concato,Simentera,Terrence Mann,Etta Jones,Christopher,YouNotUs,9th Wonder,Lloyd Banks,Eddie Money,Bryant Myers,Franz Ferdinand,,Santiago Cruz,Les Innocents,Barbara Mandrell,Eddy de Pretto,One Acen,EDEN,Sean Price,Lost Kings,Five Finger Death Punch,Angie Stone,Nate57,Moneda Dura,Crystal Waters,Tomas Andersson Wij,Travis Scott,Bahamas,Stefanie Heinzmann,Moses Sumney,Lizz Wright,Krezip,Ashe,Rey Ruiz,Sin Bandera,Jake Miller,Cecil Taylor,La Ley,Tom Swoon,Jonas Blue,Metronomy,Błażej Król,Waka Flocka Flame,Fard,James Blake,,Richard Swift,filous,Disciples,Blood Orange,BROCKHAMPTON,Léa Paci,SNIPER,Thug Life,Shontelle,Syn Cole,Phoebe Ryan,Qveen Herby,Faith Evans,Tyrese,EXO-SC,James Gillespie,Moon Byul,Rekha Bhardwaj,Bryant Myers,Smrtdeath,Delilah,BROODS,Nate Dogg,Bonjour Papa,Ilan Eshkeri,Doe Boy,João Bosco & Vinicius,Rea Garvey,Peter Jöback,Fefe Dobson,YBN Nahmir,Estelares,Bushido,Running Touch,Rick Ross,Gavin DeGraw,FRENSHIP,Saba,Franky Style,JORIS,Freeze corleone,Paul Young,Sugababes,Hannah Montana,Matt Nathanson,Too $hort,Fergie,Sadiq,Tamia,Armando,X-Session,Raven-Symoné
