,1187,684,437,1090,352,1388,778,862,663,791,1340,953,1031,648,407,779,332,480,531,1351,1126,542,645,769,1234,504,1015,984,824,605,1008,1407,763,434,1115,206,698,1349,75,49,439,272,797,935,452,760,387,748,1100,980,670,1155,436,817,995,528,925,695,1043,167,312,549,1094,581,1281,486
0,flora cash,Five Finger Death Punch,T-Wayne,Avey Tare,Natalia y La Forquetina,Ina Regen,Bush,Brave Girls,#TocoParaVos,Fabian Wegerer,Dark Tranquillity,Lucy Dacus,Hello Sleepwalkers,Cristian Castro,Lee Brice,Little Boots,Ella Henderson,Berlins Most Wanted,Von Wegen Lisbeth,Trisha Yearwood,Extrawelt,Spillage Village,The Calling,Steve Angello,Cheikh Lô,Douwe Bob,Natalie Merchant,Augustine,Abidaz,Rhys,Washed Out,UMI,Josh Kramon,Shane MacGowan & The Popes,KDrew,Brandz,Yeison Jimenez,MC Lyte,Brytiago,YNW Melly,Alex & Sierra,Kings of Leon,The Andrews Sisters,Møme,Slaughterhouse,Peg Parnevik,Foreigner,joan,,Bizi,Craig Morgan,Trebol Clan,Mario Bautista,Skyzoo,Dennis Sheperd,Charly García,Natalia Lafourcade,MC Ren,Fettes Brot,Arizona Zervas,Zuna,Girl's Day,The Watchmen,No Angels,Logistics,Baby Bash
1,Aquilo,Stone Sour,Hollygrove Keem,Atlas Sound,Ely Guerra,Batomae,Audioslave,OH MY GIRL,Los Bonnitos,KAMRAD,Soilwork,Claud,Cö Shu Nie,Ricardo Montaner,Jason Aldean,Róisín Murphy,Zak Abel,Ali Bumaye,Fynn Kliemann,Lee Ann Womack,Oliver Koletzki,REASON,The Fray,Sebastian Ingrosso,Youssou N'Dour,Miss Montreal,Paula Cole,JUNG,Dani M,Peg Parnevik,Neon Indian,Kyle Dion,Lukewarm Freeda,The Dubliners,Adventure Club,Koomz,Alexis Escobar,Heavy D & The Boyz,Bryant Myers,YoungBoy Never Broke Again,Sara Bareilles,Interpol,Louis Jordan,Kazy Lambist,Yelawolf,Sandro Cavazza,REO Speedwagon,Hotel Apache,,LILBRO,Chris Cagle,Erre XI,Becky G,Elzhi,Kyau & Albert,Fito Paez,Belanova,Above The Law,Blumentopf,Aries,Kurdo,f(x),Big Sugar,Monrose,Danny Byrd,Sean Kingston
2,Amber Run,HELLYEAH,Yung Ralph,Animal Collective,Hello Seahorse!,Knappe,Soundgarden,CLC,Los Nota Lokos,Marie Bothmer,Scar Symmetry,Julien Baker,THE ORAL CIGARETTES,Reyli Barba,Florida Georgia Line,Annie,M.O,Bushido,KYTES,Jamie O'Neal,Fritz Kalkbrenner,Omen,Daughtry,Afrojack,Ismaël Lô,Maan,Chantal Kreviazuk,Seinabo Sey,Alpis,Miriam Bryant,Passion Pit,Tone Stith,Lovewhip,Young Dubliners,Tristam,Tory,Arelys Henao,Boogie Down Productions,Nio Garcia,YK Osiris,Olivia Holt,The Kooks,Louis Prima & Keely Smith,French 79,JL,Sabina Ddumba,Night Ranger,VICTORS,,Joe L,David Nail,Alexis y Fido,Sofía Reyes,Jay Electronica,Orjan Nilsen,Serú Girán,Ximena Sariñana,Spice 1,Dendemann,gianni & kyle,Azzi Memo,SISTAR,Matthew Good Band,Yvonne Catterfeld,Brookes Brothers,T-Pain
3,DOLKINS,Godsmack,House Party,Deerhunter,Ximena Sariñana,Benne,Stone Temple Pilots,EVERGLOW,18 Kilates,Mimoza,Children Of Bodom,MUNA,Eir Aoi,Cristian,Jake Owen,iamamiwhoami,Anton Powers,Chakuza,FIL BO RIVA,Jo Dee Messina,Booka Shade,EARTHGANG,Five For Fighting,Axwell,Salif Keita,Suzan & Freek,Jann Arden,Ellen Krauss,Malcolm B,Daniela Rathana,Phantogram,Mac Ayres,Wild Seeds,Flogging Molly,Seven Lions,Wauve,Joaquin Guiller,Big Daddy Kane,Lary Over,Blueface,A Great Big World,Brandon Flowers,Wayne Newton,Les Gordon,Stevie Stone,Oscar Zia,Boston,The Strike,,SHRTY,Lee Brice,Zion,Malu Trevejo,Black Milk,Estiva,Illya Kuryaki & The Valderramas,Miranda!,South Central Cartel,Jan Delay,Global Dan,Nash,2NE1,54-40,Christina Stürmer,London Elektricity,Jay Sean
4,Billie Marten,In Flames,Mook TBG,No Age,Zoé,Lina Maly,The Smashing Pumpkins,CHUNG HA,Mano Arriba,Benne,Arch Enemy,Julia Jacklin,ROOKiEZ is PUNK'D,Yahir,Blake Shelton,Niki & The Dove,Izzy Bizu,Eko Fresh,Giant Rooks,Sara Evans,Dominik Eulberg,Cozz,Matchbox Twenty,Otto Knows,Boubacar Traoré,Gers Pardoel,Tori Amos,SKAAR,Lilla Namo,Oscar Zia,Small Black,Alextbh,The Daylight Titans,The Tossers,Au5,N2theA,Los Hermanos Medina,Monie Love,Rvssian,Lil Tecca,Christina Grimmie,Franz Ferdinand,Louis Jordan & His Tympany Five,Trinix,Bubba Sparxxx,FELIX SANDMAN,Heart,90's Kids,,Ares,Easton Corbin,De La Ghetto,CNCO,Blu,Gareth Emery,Babasónicos,Mœnia,Compton's Most Wanted,Fünf Sterne deluxe,Jutes,Ra'is,miss A,The Trews,Silbermond,Nu:Tone,Iyaz
5,RY X,Soil,Shy Glizzy,Dirty Projectors,Plastilina Mosh,Xavi,Temple Of The Dog,Weeekly,Marama,PARADISE LTD,Sonic Syndicate,Better Oblivion Community Center,NANO,Franco De Vita,Jon Pardi,Agnes,Jess Glynne,Nazar,Leoniden,Faith Hill,Kollektiv Turmstrasse,VIC MENSA,Vertical Horizon,Nicky Romero,Toumani Diabaté,Davina Michelle,Jewel,Lennon Stella,Ison & Fille,LOVA,Chromatics,Jeff Bernat,Saucy Monky,The Mahones,Trivecta,Asiah,Luisito Muñoz,Da Brat,Amenazzy,Tee Grizzley,Colbie Caillat,Razorlight,Keely Smith,Clement Bazin,Krizz Kaliko,Jesper Jenset,Survivor,Hardcastle,,MD$,Justin Moore,Magnate Y Valentino,Nacho,Reflection Eternal,Super8 & Tab,Los Abuelos De La Nada,Aleks Syntek,WC,Beginner,Yung Pinch,Soufian,Wonder Girls,Big Wreck,Jeanette Biedermann,Cyantific,Chingy
6,James Vincent McMorrow,Trivium,Fetty Wap,Black Moth Super Rainbow,Julieta Venegas,Matthias Schweighöfer,Silverchair,I.O.I,El Reja,who is vince,The Haunted,Soccer Mommy,ラックライフ,Diego Torres,Billy Currington,Sophie Ellis-Bextor,Grace Carter,Fard,L'aupaire,Pam Tillis,Marek Hemmann,Lute,Rob Thomas,Eric Prydz,Orchestra Baobab,Nick & Simon,Heather Nova,Elina,STOR,FELIX SANDMAN,Empire of the Sun,Nbdy,Auli'i Cravalho,The Wolfe Tones,Varien,T MULLA,Fernando Burbano,James Marsden,Alex Rose,NAV,Oh Honey,Kaiser Chiefs,The Mills Brothers,Emrod,Bad Meets Evil,Benjamin Ingrosso,Steve Perry,The Bad Dreamers,,DAVI,Randy Houser,Dalmata,Greeicy,Little Brother,Ashley Wallbridge,Soda Stereo,La Quinta Estacion,Mack 10,Alexander Marcus,Landon Cube,BOJAN,Apink,Sam Roberts Band,Alexa Feser,Camo & Krooked,Nelly
7,Oh Wonder,Danko Jones,Kb Remix,Deakin,Kinky,Julia Engelmann,Alice In Chains,Weki Meki,El Dipy,Strangely Familiar,Amorphis,Sharon Van Etten,Survive Said The Prophet,Sin Bandera,Keith Urban,Kleerup,Rak-Su,PA Sports,Kraftklub,SHeDAISY,Stephan Bodzin,kiLL edward,3 Doors Down,Dada Life,Thione Seck,Diggy Dex,Shawn Colvin,Rhys Lewis,Parham,Silvana Imam,Wild Nothing,Arin Ray,Atash,The Saw Doctors,Kill The Noise,Derek King,Los Legendarios,Special Ed,Cauty,PnB Rock,Rixton,White Lies,Cab Calloway,The Blaze,Kutt Calhoun,LOVA,Styx,Fickle Friends,,LEWI,Montgomery Gentry,Jadiel,Gianluca Vacchi,Blu & Exile,Andy Moor,Emmanuel Horvilleur,Playa Limbo,Kokane,Freundeskreis,Ollie,Kalazh44,AILEE,Odds,Ich + Ich,BCee,Bow Wow
8,Keaton Henson,Mustasch,Chinx,Dan Deacon,Paté de Fuá,Joel Brandenstein,Chris Cornell,SUNMI,Sonido De La Costa,Lou Wilson,Insomnium,Caroline Rose,MY FIRST STORY,Soraya,Dustin Lynch,La Roux,Louisa Johnson,Massiv,Käptn Peng,Deana Carter,Agoria,Caleborate,Train,Michael Calfan,Ali Farka Touré,Ilse DeLange,"10,000 Maniacs",Wrabel,Allyawan,Linnea Henriksson,Sigur Rós,Jess Connelly,Sandra Pires,Gaelic Storm,Ephixa,Shawn Foxx,Paola Jara,Jungle Brothers,Lunay,Kodak Black,Andy Grammer,Kasabian,Mel Tormé,Fellini Félin,Tech N9ne,Lisa Ajax,Loverboy,La Bouquet,,Fabe,Jason Michael Carroll,Zion & Lennox,Natti Natasha,Phonte,Mat Zo,Fabiana Cantilo,Paty Cantú,Bloods & Crips,Seeed,COTIS,CALO,G-DRAGON,Headstones,LOTTE,Culture Shock,Soulja Boy
9,Bon Iver,Drowning Pool,Zach Farlow,Destroyer,Maria Daniela Y Su Sonido Lasser,toksi,Velvet Revolver,H.I.N.P (Hot Issue of Ntl. Producers),Marka Akme,Casey Shirin,Kalmah,Big Thief,SiM,Luis Fonsi,Justin Moore,Sky Ferreira,Blonde,Alpa Gun,Bilderbuch,Wynonna,Joris Delacroix,Rapsody,Dishwalla,Axwell /\ Ingrosso,Issa Bagayogo,Veldhuis & Kemper,Melissa Etheridge,Blake Rose,Grillat & Grändy,Molly Sandén,Son Lux,Col3trane,Kissinger,Paddy Reilly,Pegboard Nerds,Deno,Luis Alberto Posada,Nice & Smooth,DJ Luian,Quando Rondo,Christina Perri,Two Door Cinema Club,Sammy Davis Jr.,Alvan,"Royce Da 5'9""",Juliander,Triumph,The Wldlfe,,MELO,Jerrod Niemann,Jowell & Randy,Ventino,Jericho Jackson,Ferry Corsten,Catupecu Machu,Paulina Rubio,Wc And The Maad Circle,Frittenbude,Lund,Mert,KARA,Blue Rodeo,Madeline Juno,DJ Marky,Ja Rule
